model	dataset	N	oov	hyper_num	method	AP	F1	Accuracy	window_size	neg_sample	epoch	emb_dim	batch_size	learning_rate	epsilon	epoch_num	loss	loss_word2vec	run
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	summation	0.5039741809566273	0.6494117647058824	0.5505226480836237	10	15	15	100	128	0.001	1e-08	4	6375.143124938011	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	summation_word2vec	0.5925018797850176	0.6494117647058824	0.6010452961672473	10	15	15	100	128	0.001	1e-08	4	6375.143124938011	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	dot_product	0.7545113624239906	0.7345575959933223	0.7247386759581882	10	15	15	100	128	0.001	1e-08	4	6375.143124938011	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	summation_dot_product	0.5582896938581536	0.6494117647058824	0.5923344947735192	10	15	15	100	128	0.001	1e-08	4	6375.143124938011	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	word2vec	0.7836729216162057	0.7504132231404959	0.7526132404181185	10	15	15	100	128	0.001	1e-08	5	6370.580752372742	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	rnd	0.5242492530577708	0.65	0.5452961672473867	10	15	15	100	128	0.001	1e-08	5	6370.580752372742	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	summation	0.5039741809566273	0.6494117647058824	0.5505226480836237	10	15	15	100	128	0.001	1e-08	5	6370.580752372742	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	summation_word2vec	0.5875510892972107	0.6494117647058824	0.5993031358885017	10	15	15	100	128	0.001	1e-08	5	6370.580752372742	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	dot_product	0.7545113624239906	0.7345575959933223	0.7247386759581882	10	15	15	100	128	0.001	1e-08	5	6370.580752372742	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	summation_dot_product	0.5582896938581536	0.6494117647058824	0.5923344947735192	10	15	15	100	128	0.001	1e-08	5	6370.580752372742	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	word2vec	0.7954844455879821	0.7707641196013288	0.7665505226480837	10	15	15	100	128	0.001	1e-08	6	6367.361878275871	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	rnd	0.48068202761366774	0.6569343065693432	0.5296167247386759	10	15	15	100	128	0.001	1e-08	6	6367.361878275871	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	summation	0.5039741809566273	0.6494117647058824	0.5505226480836237	10	15	15	100	128	0.001	1e-08	6	6367.361878275871	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	summation_word2vec	0.5952596414428858	0.6494117647058824	0.5993031358885017	10	15	15	100	128	0.001	1e-08	6	6367.361878275871	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	dot_product	0.7545113624239906	0.7345575959933223	0.7247386759581882	10	15	15	100	128	0.001	1e-08	6	6367.361878275871	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	summation_dot_product	0.5582896938581536	0.6494117647058824	0.5923344947735192	10	15	15	100	128	0.001	1e-08	6	6367.361878275871	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	word2vec	0.7988338546759303	0.7589424572317264	0.7613240418118467	10	15	15	100	128	0.001	1e-08	7	6364.90700340271	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	rnd	0.46784610008079575	0.6509433962264151	0.5313588850174216	10	15	15	100	128	0.001	1e-08	7	6364.90700340271	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	summation	0.5039741809566273	0.6494117647058824	0.5505226480836237	10	15	15	100	128	0.001	1e-08	7	6364.90700340271	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	summation_word2vec	0.5903672959168841	0.6494117647058824	0.5993031358885017	10	15	15	100	128	0.001	1e-08	7	6364.90700340271	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	dot_product	0.7545113624239906	0.7345575959933223	0.7247386759581882	10	15	15	100	128	0.001	1e-08	7	6364.90700340271	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	summation_dot_product	0.5582896938581536	0.6494117647058824	0.5923344947735192	10	15	15	100	128	0.001	1e-08	7	6364.90700340271	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	word2vec	0.80244128747107	0.7705192629815746	0.7700348432055749	10	15	15	100	128	0.001	1e-08	8	6362.978155255319	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	rnd	0.5201802814472661	0.6506024096385542	0.5662020905923345	10	15	15	100	128	0.001	1e-08	8	6362.978155255319	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	summation	0.5039741809566273	0.6494117647058824	0.5505226480836237	10	15	15	100	128	0.001	1e-08	8	6362.978155255319	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	summation_word2vec	0.5948604541498945	0.6494117647058824	0.5975609756097561	10	15	15	100	128	0.001	1e-08	8	6362.978155255319	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	dot_product	0.7545113624239906	0.7345575959933223	0.7247386759581882	10	15	15	100	128	0.001	1e-08	8	6362.978155255319	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	summation_dot_product	0.5582896938581536	0.6494117647058824	0.5923344947735192	10	15	15	100	128	0.001	1e-08	8	6362.978155255319	0.0	0
